Item,Estimated_Cost,Actual_Cost,Budget
Packaging,8577,1019,50000
Transport,4711,9132,50000
Maintenance,3960,9126,50000
Packaging,5830,8481,50000
Marketing,6458,6540,50000
Logistics,2619,6468,50000
Maintenance,7138,7563,50000
Maintenance,7680,3594,50000
Packaging,3340,2685,50000
Labor,2728,4345,50000
Marketing,4585,6560,50000
Packaging,1201,6205,50000
Marketing,6985,9786,50000
Marketing,7175,7689,50000
Logistics,4160,2480,50000
Maintenance,2713,8781,50000
Transport,8872,9413,50000
Logistics,8839,8960,50000
Logistics,7859,8158,50000
Marketing,1752,4939,50000
Utilities,1114,5163,50000
Maintenance,6341,3352,50000
Labor,4980,5121,50000
Logistics,7325,2836,50000
Transport,3818,1322,50000
Utilities,1468,9180,50000
Utilities,1425,3676,50000
Labor,9141,5588,50000
Logistics,2575,5089,50000
Transport,1833,4779,50000
Maintenance,5106,9070,50000
Raw Materials,4703,7805,50000
Transport,2408,8637,50000
Labor,4481,8988,50000
Utilities,7185,2150,50000
Maintenance,6821,6310,50000
Transport,7844,4895,50000
Raw Materials,7395,2259,50000
Raw Materials,9795,4340,50000
Marketing,1212,2479,50000
Marketing,7411,4424,50000
Packaging,5801,8083,50000
Labor,2758,6551,50000
Logistics,6780,4559,50000
Transport,9973,3650,50000
Transport,2526,4729,50000
Logistics,1840,2141,50000
Packaging,2341,9095,50000
Utilities,2500,4308,50000
Utilities,9121,3071,50000
Packaging,6559,1570,50000
Utilities,6926,6886,50000
Marketing,9707,4138,50000
Transport,8675,4085,50000
Packaging,7457,1456,50000
Transport,4256,8628,50000
Logistics,3594,4220,50000
Raw Materials,4656,7194,50000
Marketing,3086,7856,50000
Maintenance,4155,8252,50000
Marketing,8188,6032,50000
Packaging,7396,7090,50000
Maintenance,1978,9403,50000
Raw Materials,4047,6617,50000
Packaging,3589,9575,50000
Labor,3006,4494,50000
Transport,7783,5448,50000
Raw Materials,6942,8424,50000
Transport,3599,9205,50000
Utilities,3508,6036,50000
Labor,9471,4756,50000
Labor,2193,1880,50000
Raw Materials,6915,7855,50000
Labor,3045,6676,50000
Maintenance,8796,6502,50000
Labor,9439,4440,50000
Transport,8602,5942,50000
Transport,4672,8041,50000
Packaging,8181,2744,50000
Transport,1044,8358,50000
Packaging,3085,6861,50000
Transport,5511,7661,50000
Maintenance,7388,4961,50000
Logistics,8775,6386,50000
Packaging,6371,6157,50000
Marketing,8948,5545,50000
Utilities,7223,8199,50000
Raw Materials,5323,2817,50000
Transport,7626,4713,50000
Labor,9814,5994,50000
Logistics,9049,1672,50000
Transport,8091,5102,50000
Labor,9676,8380,50000
Utilities,9216,6039,50000
Utilities,2225,9792,50000
Utilities,2248,7223,50000
Labor,9970,1336,50000
Transport,6026,9544,50000
Utilities,3842,7097,50000
Maintenance,6698,9550,50000
Packaging,2582,5872,50000
Labor,5848,9367,50000
Labor,4138,2186,50000
Transport,5755,4901,50000
Labor,2517,7039,50000
Labor,5642,2746,50000
Utilities,6196,7903,50000
Transport,4768,2282,50000
Utilities,7198,3868,50000
Packaging,9072,2545,50000
Logistics,6558,8662,50000
Packaging,2343,3096,50000
Logistics,6490,3986,50000
Utilities,6335,3041,50000
Packaging,1048,6970,50000
Transport,6916,6494,50000
Raw Materials,3510,5453,50000
Utilities,7225,7319,50000
Logistics,4660,1810,50000
Maintenance,2746,7814,50000
Logistics,9687,5914,50000
Maintenance,9170,7802,50000
Labor,1633,3710,50000
Packaging,7980,2457,50000
Maintenance,3720,4245,50000
Logistics,1175,8568,50000
Labor,9830,8436,50000
Raw Materials,9152,5431,50000
Transport,4357,4558,50000
Transport,5392,7757,50000
Transport,6379,2949,50000
Maintenance,6970,3603,50000
Raw Materials,9666,4831,50000
Maintenance,2958,2197,50000
Packaging,7679,5639,50000
Maintenance,8348,3601,50000
Raw Materials,6884,9958,50000
Raw Materials,9540,6961,50000
Packaging,9828,2525,50000
Raw Materials,4614,5785,50000
